Year,Code_all,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8,Code 9,Code 10,Code 11,Code 12,Code 13,Code 14,Code 15,Code 16,Code 17,Code 18,Code 19,Code 20,Code 21,Code 22,Code 23,Code 24,Code 25,Code 26,Code 27,Code 28
1999,16849,8048,3442,142,3300,3822,1964,47,1858,3775,1960,15,1945,730,547,187,11,360,536,1135,701,122,434,1013,1749,611,122,1138,1627,
2000,17415,8407,3785,167,3618,3544,1834,46,1710,3498,1842,18,1824,782,578,202,7,376,571,1298,892,136,406,1162,1798,679,123,1119,1675,
2001,19394,9492,4770,199,4571,3833,1886,75,1947,3758,1779,15,1764,957,563,164,6,399,557,1594,1121,186,473,1408,2017,890,147,1127,1870,
2002,23518,11917,6483,322,6161,4599,2318,65,2281,4534,2089,15,2074,1295,941,325,19,616,922,2022,1511,230,511,1792,2370,1148,238,1222,2132,
2003,25785,12939,7461,344,7117,5199,2456,109,2743,5090,2080,16,2064,1400,1179,359,28,820,1151,2248,1692,242,556,2006,2512,1234,230,1278,2282,
2004,27424,13755,8577,384,8193,5443,2522,130,2921,5313,1878,13,1865,1664,1305,407,29,898,1276,2627,2049,270,578,2357,2758,1379,264,1379,2494,
2005,29813,14917,9612,426,9186,6208,2842,174,3366,6034,2009,34,1975,1742,1608,476,33,1132,1575,3084,2430,312,654,2772,2861,1508,278,1353,2583,
2006,34425,17545,11589,573,11016,7448,3372,432,4076,7016,2088,113,1975,2707,1462,526,37,936,1425,3835,3045,407,790,3428,3133,1662,300,1471,2833,
2007,36010,18515,12796,601,12195,6512,3027,219,3485,6293,2399,13,2386,2213,1378,473,35,905,1343,4500,3605,436,895,4064,3425,1901,292,1524,3133,
2008,36450,19582,13149,655,12494,5129,2656,182,2473,4947,3041,28,3013,2306,1302,495,47,807,1255,5010,4070,491,940,4519,3610,2111,384,1499,3226,
2009,37004,20422,13523,872,12651,4350,2210,176,2140,4174,3278,29,3249,2946,1632,654,69,978,1563,5567,4633,658,934,4909,3768,2292,505,1476,3263,
2010,38329,21088,14583,939,13644,4183,2086,167,2097,4016,3036,45,2991,3007,1854,640,73,1214,1781,6497,5517,746,980,5751,3889,2389,568,1500,3321,
2011,41340,22784,15140,889,14251,4681,2505,189,2176,4492,4397,44,4353,2666,2266,876,93,1390,2173,6872,5826,665,1046,6207,4113,2501,463,1612,3650,
2012,41502,23164,14240,861,13379,4404,2448,182,1956,4222,5925,69,5856,2628,2635,993,91,1642,2544,6524,5500,655,1024,5869,4259,2536,464,1723,3795,
2013,43982,25050,14145,1015,13130,4944,2831,245,2113,4699,8257,209,8048,3105,3627,1354,142,2273,3485,6973,5869,804,1104,6169,4458,2763,571,1695,3887,
2014,47055,28647,14838,1489,13349,5415,3414,628,2001,4787,10574,1027,9547,5544,4298,1806,276,2492,4022,7945,6733,1222,1212,6723,4768,2983,723,1785,4045,
2015,52404,33091,15281,2263,13018,6784,4506,1542,2278,5242,12989,2685,10304,9580,5716,2345,494,3371,5222,8791,7485,1801,1306,6990,4894,3062,808,1832,4086,
2016,63632,42249,17087,4055,13032,10375,7263,4184,3112,6191,15469,5781,9688,19413,7542,3416,1042,4126,6500,10684,9233,3308,1451,7376,4812,2960,1002,1852,3810,
